curie	type	label	parent	parent label	role	role label	function types	description	modified date
ID	TYPE	AT rdfs:label^^xsd:string	SC %		SC 'has role' some %		SC 'has function type' some % SPLIT=|	AT dcterms:description^^xsd:string	AT dcterms:modified^^xsd:date
BSEO:0000086	class	ANO-R1	BSEO:0100006	ano	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2019-12-20
BSEO:0000087	class	ANO-R2	BSEO:0100006	ano	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2019-12-20
BSEO:0000088	class	ANO-R3	BSEO:0100006	ano	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2019-12-20
BSEO:0000089	class	ANO-RCC	BSEO:0100006	ano	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	Full ANO-RCC basis	2015-01-16
BSEO:0000090	class	ANO-RCC-MB	BSEO:0100006	ano	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2019-03-05
BSEO:0000091	class	ANO-RCC-VDZ	BSEO:0100006	ano	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2019-03-05
BSEO:0000092	class	ANO-RCC-VDZP	BSEO:0100006	ano	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2019-03-05
BSEO:0000093	class	ANO-RCC-VQZP	BSEO:0100006	ano	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2019-03-05
BSEO:0000094	class	ANO-RCC-VTZ	BSEO:0100006	ano	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2019-03-05
BSEO:0000095	class	ANO-RCC-VTZP	BSEO:0100006	ano	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2019-03-05
BSEO:0000096	class	ANO-VT-DZ	BSEO:0100007	ano_claudino	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	ANO-VT-DZ (Atomic Natural Orbital - Virial Theorem - Double Zeta)	2019-03-27
BSEO:0000097	class	ANO-VT-QZ	BSEO:0100007	ano_claudino	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	ANO-VT-QZ (Atomic Natural Orbital - Virial Theorem - Quadruple Zeta)	2019-03-27
BSEO:0000098	class	ANO-VT-TZ	BSEO:0100007	ano_claudino	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	ANO-VT-TZ (Atomic Natural Orbital - Virial Theorem - Triple Zeta)	2019-03-27
BSEO:0000099	class	apr-cc-pV(Q+d)Z	BSEO:0100062	truhlar	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	apr-cc-pV(Q+d)Z basis of Papajak/Truhlar	2013-01-23
BSEO:0000100	class	asigmaDZ	BSEO:0100059	sigmanz	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	asigmaDZ basis	2024-01-12
BSEO:0000101	class	asigmaQZ	BSEO:0100059	sigmanz	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	asigmaQZ basis	2024-01-12
BSEO:0000102	class	asigmaTZ	BSEO:0100059	sigmanz	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	asigmaTZ basis	2024-01-12
BSEO:0000103	class	ATZP-ZORA	BSEO:0100035	jorge	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	ATZP-ZORA, augmented all-electron triple-zeta basis for calculations with the ZORA approach	2021-07-08
BSEO:0000104	class	aug-admm-1	BSEO:0100033	jensen	BSEO:0200001	admmfit	BSEO:0300001	Auxiliary basis with diffuse functions for use with aug-pcseg-1 and the Auxiliary-Density Matrix Method (ADMM)	2019-01-07
BSEO:0000105	class	aug-admm-2	BSEO:0100033	jensen	BSEO:0200001	admmfit	BSEO:0300001|BSEO:0300002	Auxiliary basis with diffuse functions for use with aug-pcseg-2 and the Auxiliary-Density Matrix Method (ADMM)	2019-01-07
BSEO:0000106	class	aug-admm-3	BSEO:0100033	jensen	BSEO:0200001	admmfit	BSEO:0300001|BSEO:0300002	Auxiliary basis with diffuse functions for use with aug-pcseg-3 and the Auxiliary-Density Matrix Method (ADMM)	2019-01-07
BSEO:0000107	class	aug-ano-pV5Z	BSEO:0100006	ano	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2021-11-17
BSEO:0000108	class	aug-ano-pVDZ	BSEO:0100006	ano	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2021-11-17
BSEO:0000109	class	aug-ano-pVQZ	BSEO:0100006	ano	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2021-11-17
BSEO:0000110	class	aug-ano-pVTZ	BSEO:0100006	ano	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2021-11-17
BSEO:0000111	class	aug-cc-pCV5Z	BSEO:0100018	dunning	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	5ZP Quintuple Zeta + Polarization + Tight Core + Diffuse	2008-10-09
BSEO:0000112	class	aug-cc-pCVDZ	BSEO:0100018	dunning	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	DZP Double Zeta + Polarization + Tight Core + Diffuse	2007-01-15
BSEO:0000113	class	aug-cc-pCVDZ-DK	BSEO:0100019	dunning_dk	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	VDZP Douglas-Kroll Valence Double Zeta + Polarization + Tight core + Diffuse	2007-01-15
BSEO:0000114	class	aug-cc-pCVQZ	BSEO:0100018	dunning	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	QZP Quadruple Zeta + Polarization + Tight Core + Diffuse	2007-01-15
BSEO:0000115	class	aug-cc-pCVQZ-DK	BSEO:0100019	dunning_dk	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	QZ3PD Douglas-Kroll Valence Double Zeta + Polarization + Tight core + Diffuse	2007-01-15
BSEO:0000116	class	aug-cc-pCVTZ	BSEO:0100018	dunning	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	TZP Triple Zeta + Polarization + Tight Core + Diffuse	2007-01-15
BSEO:0000117	class	aug-cc-pCVTZ-DK	BSEO:0100019	dunning_dk	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	Triple-Zeta Douglas-Kroll Valence Double Zeta + Polarization + Tight core + Diffuse	2007-01-15
BSEO:0000118	class	aug-cc-pV(5+d)Z	BSEO:0100018	dunning	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2007-01-15
BSEO:0000119	class	aug-cc-pV(D+d)Z	BSEO:0100018	dunning	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2007-01-15
BSEO:0000120	class	aug-cc-pV(Q+d)Z	BSEO:0100018	dunning	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2007-01-15
BSEO:0000121	class	aug-cc-pV(T+d)Z	BSEO:0100018	dunning	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2007-01-15
BSEO:0000122	class	aug-cc-pV5Z	BSEO:0100018	dunning	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2009-01-26
BSEO:0000123	class	aug-cc-pV5Z-DK	BSEO:0100019	dunning_dk	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	V5ZPD   All-electron Douglas-Kroll Valence Quintuple Zeta + Polarization	2011-02-12
BSEO:0000124	class	aug-cc-pV5Z-OPTRI	BSEO:0100023	dunning_fit	BSEO:0200007	optri	BSEO:0300001|BSEO:0300002		2010-05-19
BSEO:0000125	class	aug-cc-pV5Z-PP	BSEO:0100025	dunning_pp	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002|BSEO:0300004		2008-10-14
BSEO:0000126	class	aug-cc-pV5Z-PP-OPTRI	BSEO:0100026	dunning_pp_fit	BSEO:0200007	optri	BSEO:0300001|BSEO:0300002		2012-06-26
