basis set ID	basis set name	atomic number	atom reference	atom name	electron shell position	electron shell region	angular momentum	function type
BSEO:0000126	6-31G	30	CHEBI:27363	zinc	4	valence	0,1	gto
BSEO:0000126	6-31G	30	CHEBI:27363	zinc	5	valence	2	gto_cartesian
BSEO:0000126	6-31G	30	CHEBI:27363	zinc	6	valence	2	gto_cartesian
BSEO:0000126	6-31G	31	CHEBI:49631	gallium	0	valence	0	gto
BSEO:0000126	6-31G	31	CHEBI:49631	gallium	1	valence	0,1	gto
BSEO:0000126	6-31G	31	CHEBI:49631	gallium	2	valence	0,1	gto
BSEO:0000126	6-31G	31	CHEBI:49631	gallium	3	valence	0,1	gto
BSEO:0000126	6-31G	31	CHEBI:49631	gallium	4	valence	0,1	gto
BSEO:0000126	6-31G	31	CHEBI:49631	gallium	5	valence	2	gto_cartesian
BSEO:0000126	6-31G	31	CHEBI:49631	gallium	6	valence	2	gto_cartesian
BSEO:0000126	6-31G	32	CHEBI:30441	germanium	0	valence	0	gto
BSEO:0000126	6-31G	32	CHEBI:30441	germanium	1	valence	0,1	gto
BSEO:0000126	6-31G	32	CHEBI:30441	germanium	2	valence	0,1	gto
BSEO:0000126	6-31G	32	CHEBI:30441	germanium	3	valence	0,1	gto
BSEO:0000126	6-31G	32	CHEBI:30441	germanium	4	valence	0,1	gto
BSEO:0000126	6-31G	32	CHEBI:30441	germanium	5	valence	2	gto_cartesian
BSEO:0000126	6-31G	32	CHEBI:30441	germanium	6	valence	2	gto_cartesian
BSEO:0000126	6-31G	33	CHEBI:27563	arsenic	0	valence	0	gto
BSEO:0000126	6-31G	33	CHEBI:27563	arsenic	1	valence	0,1	gto
BSEO:0000126	6-31G	33	CHEBI:27563	arsenic	2	valence	0,1	gto
BSEO:0000126	6-31G	33	CHEBI:27563	arsenic	3	valence	0,1	gto
BSEO:0000126	6-31G	33	CHEBI:27563	arsenic	4	valence	0,1	gto
BSEO:0000126	6-31G	33	CHEBI:27563	arsenic	5	valence	2	gto_cartesian
BSEO:0000126	6-31G	33	CHEBI:27563	arsenic	6	valence	2	gto_cartesian
BSEO:0000126	6-31G	34	CHEBI:27568	selenium	0	valence	0	gto
BSEO:0000126	6-31G	34	CHEBI:27568	selenium	1	valence	0,1	gto
BSEO:0000126	6-31G	34	CHEBI:27568	selenium	2	valence	0,1	gto
BSEO:0000126	6-31G	34	CHEBI:27568	selenium	3	valence	0,1	gto
BSEO:0000126	6-31G	34	CHEBI:27568	selenium	4	valence	0,1	gto
BSEO:0000126	6-31G	34	CHEBI:27568	selenium	5	valence	2	gto_cartesian
BSEO:0000126	6-31G	34	CHEBI:27568	selenium	6	valence	2	gto_cartesian
BSEO:0000126	6-31G	35	CHEBI:22927	bromine	0	valence	0	gto
BSEO:0000126	6-31G	35	CHEBI:22927	bromine	1	valence	0,1	gto
BSEO:0000126	6-31G	35	CHEBI:22927	bromine	2	valence	0,1	gto
BSEO:0000126	6-31G	35	CHEBI:22927	bromine	3	valence	0,1	gto
BSEO:0000126	6-31G	35	CHEBI:22927	bromine	4	valence	0,1	gto
BSEO:0000126	6-31G	35	CHEBI:22927	bromine	5	valence	2	gto_cartesian
BSEO:0000126	6-31G	35	CHEBI:22927	bromine	6	valence	2	gto_cartesian
BSEO:0000126	6-31G	36	CHEBI:49696	krypton	0	valence	0	gto
BSEO:0000126	6-31G	36	CHEBI:49696	krypton	1	valence	0,1	gto
BSEO:0000126	6-31G	36	CHEBI:49696	krypton	2	valence	0,1	gto
BSEO:0000126	6-31G	36	CHEBI:49696	krypton	3	valence	0,1	gto
BSEO:0000126	6-31G	36	CHEBI:49696	krypton	4	valence	0,1	gto
BSEO:0000126	6-31G	36	CHEBI:49696	krypton	5	valence	2	gto_cartesian
BSEO:0000126	6-31G	36	CHEBI:49696	krypton	6	valence	2	gto_cartesian
BSEO:0000127	6-31G(2df,p)	1	CHEBI:49637	hydrogen	0	valence	0	gto
BSEO:0000127	6-31G(2df,p)	1	CHEBI:49637	hydrogen	1	valence	0	gto
BSEO:0000127	6-31G(2df,p)	1	CHEBI:49637	hydrogen	2		1	gto
BSEO:0000127	6-31G(2df,p)	1	CHEBI:49637	hydrogen	3		1	gto
BSEO:0000127	6-31G(2df,p)	2	CHEBI:30217	helium	0	valence	0	gto
